CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
명이나물마늘보쌈,삶기, 오겹살 명이나물장아찌 월계수잎 대파 청양고추 생강 통마늘 양파 된장 청주 통후추 마늘소스 다진마늘 사과즙 유자청 식초 
열무국수,삶기, 열무물김치 소면 오이 청양고추 달걀 연겨자 설탕 식초 소금 
콩국수,삶기, 콩 물 오이 달걀 개 검은깨 얼음 소면 소금 
콩국수,삶기, 대두 콩 오이 토마토 소면 물 각얼음 굵은소금 깨소금 굵은소금 
감자삶는법,삶기, 감자 굵은 소금
감자사라다,삶기, 감자 마요네즈 고추냉이 깨 소금 후추 넉넉히
오이냉국수,삶기, 미역 오이 당근 양파 대파 청양고추 개 홍고추 소면 다시마우린 물 얼음 다진마늘 통깨 국간장 소금 설탕 고춧가루 식초 
감자삶는법,삶기, 감자 굵은소금 뉴슈가 물 
옥수수삶는법,삶기, 옥수수 소금 설탕 물 
김치말이국수,삶기, 소면 오이 김치 잘익은김치 고추장 식초 깨 김치국물 김치국물 멸치육수 설탕 식초 매실
물김치냉면,삶기, 냉면 사리 달걀 자두 키위 물김치 올리고당 연겨자 식초
팥삶기,삶기, 팥 설탕 물 
냉우동,삶기, 우동면 후레이크 오이 토마토 얼음물 김 간장스프
콩국수,삶기, 오이 소금 두유 미숫가루 검은깨 
강황국수,삶기, 강황국수 당뇨고추 푸른잎채소 겨자잎 방울토마토 체리
마늘보쌈,삶기, 돼지고기앞다리살 파 마늘 양파 고기 된장 간장 후추 마늘소스 다진마늘 다진양파 겨자가루 간장 매실액 
메추리알까는법,삶기, 메추리알 물 소금 식초 밀폐용기
무청시래기,삶기, 무청 시래기
계란삶는법,삶기, 계란 물 소금 식초
검정콩청국장,삶기, 검정콩
감자삶기,삶기, 감자 소금 설탕 
냉모밀국수,삶기, 열무김치 메밀국수 생면 삶은달걀 오이 가쓰오부시소스
서리태콩국수,삶기, 소면 α 서리태 물 잣 수박 소금 
묵은지국수,삶기, 국수 묵은지 호박나물 취나물 깨소금 참기름 액젓 다시마 멸치 짜투리 야채
감자삶는법,삶기, 감자 설탕 소금 
