CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
육회,무침, 육회용 쇠고기 계란노른자 배 견과류 소금 깨소금 참기름 설탕 
백일송이버섯김치,무침, 백일송이 단감 파프리카 파 양파 고추가루 굵은소금 매실액 멸치액젓 마늘 설탕 쌀로만든풀죽
시금치무침,무침, 시금치 물 소금 소금 국간장 참기름 깨소금 
쌀국수오징어무침,무침, 오징어 쌀국수면 쪽파 양파 자색감자 고추장 마늘다진것 간장 식초 매실청 깨소금 칠리소스 참기름 
무생채,무침, 무 채썬무 약 고춧가루 소금 멸치액젓 다진마늘 설탕 식초 깨소금 참기름 
꽃게,무침, 꽃게 간장 청주 생강한쪽 슬라이스 고추가루 계량스푼으로 수북하게 매실즙 설탕 참기름 깨소금 다진 마늘 다진 파 
시금치쑥갓나물,무침, 시금치 쑥갓 소금 집간장 소금또는 맛소금 다진마늘 참기름 통깨 
닭고기냉채,무침, 닭가슴살 배 당근 오이 달걀 소금 설탕 양파 청주 실파 실고추 배즙 갠 겨자 잣가루 설탕 식초 다진 풋고추 다진 붉은 고추 소금 후춧가루 참기름 
어리굴젓,무침, 굴 무 실파 청양고추 홍고추 양파 액젓 고춧가루 찹쌀풀 다진마늘 소금 설탕
깻잎김치,무침, 채를썬양파 깻잎 고춧가루 다진마늘 설탕 깨소금 액젓
부추겉절이,무침, 부추 액젓 식초 참기름 고춧가루 깨소금 설탕 
청경채된장무침,무침, 청경채 데침용 소금 시판된장 고추장 들깨가루 다진마늘 들기름 소금 통깨 
육회,무침, 우둔살 부추 계란노른자 간장 참기름 다진 마늘 다진 파 깨소금 꿀 매실 액기스 후추 
오이소박이,무침, 오이 부추 양파 당근 고추가루 마늘 생강 매실액기스 설탕 미원 깨 새우젓 까나리액젓
양념꼬막,무침, 꼬막 간장 고춧가루 맛술 다진당근 다진청양고추 참기름 통깨 
양배추무침,무침, 양배추 사과 배 단감 부추 김치전용액젓 고춧가루 다진마늘 다진생강 통깨 
메밀묵무침,무침, 메밀묵 배춧잎 치커리 부추 배 단감 대파 양파 홍고추 통깨 메밀묵 들기름 소금 후춧가루 장 고추장 고춧가루 진간장 매실즙 식초 들기름 다진마늘 후춧가루 
오이김치,무침, 오이 쪽파 다진 마늘 식초 고춧가루 올리고당 새우젓 멸치액젓 
파래무침,무침, 파래 채썬무 국간장 고춧가루 식초 요리당 다진마늘 깨소금 참기름 
소라채소초무침,무침, 참소라살 콩나물머리 꼬리떼고 미나리 끝부분 떼어내고 적당 크기로 잘라 준비 채썬 양파 고추장 고운 고추가루 다진파 마늘 참기름 맛술 설탕 식초 
시금치무침,무침, 시금치 참기름 고춧가루 깨 소금 다진마늘 
닭가슴살부추김치,무침, 부추 닭가슴살 양파 닭가슴살 장 고추장 굴소스 고운 고춧가루 물엿 다진 파 다진 마늘 청주 부추김치 장 멸치젓국 고춧가루 다진 마늘 설탕 통깨 
굴무침,무침, 굴먹을만큼 계란 전분 굴전 들기름 샐러드유 굴무침 고추가루 설탕 식초 대파 깨소금 다진 마늘 참기름 
고추무침,무침, 풋고추 고추장 고추가루 설탕 식초 다진마늘 깨소금 
냉이된장무침,무침, 냉이 소금 된장 고추장 고춧가루 참기름 다진마늘 다진파 실고추 통깨 
가리비초무침,무침,가리비탕 가리비 그린홍합 무 홍고추 미나리 가리비초무침 알가리비 조갯살 미나리 홍고추 오이 당근 대파 북어포 가리비탕 통마늘 소금 후추 해물 육수 물 다시마 북어포 조개 건새우 대파 양파 가리비초무침 청주 소금 고추장 설탕 식초 소금 고춧가루 다진 마늘 깨소금 
죽순초무침,무침,죽순탕 마른새우 죽순통조림 대파 마늘 다시마 작은것 무 순두부 참나물 죽순 초무침 통죽순 오이 도라지 죽순탕 참기름 소금 후추가루 죽순 초무침 고추장 설탕 식초 소금
콩나물,무침,콩나물초장무침 삶은 콩나물 오이 콩나물 무침 삶은 콩나물 붉은 고추 부추 콩나물 무침 삶은 콩나물 당근 대파 양파 콩나물 겨자채 오징어 몸통 해파리 오이 당근 콩나물 초장 무침 초장 다진 마늘 통깨 콩나물 무침 혼다시 소금 다진 마늘 참기름 참깨 콩나물 무침 고춧가루 다진 마늘 천일염 참기름 통깨 콩나물 겨자채 마요네즈 설탕 식초 간장 다진 양파 다진마늘 소금 
