CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
연근참깨,데치기, 연근 깨소금 소금 식초 
쭈꾸미샤브샤브,데치기,샤브샤브 쭈꾸미 배춧잎 냉이 시금치 팽이버섯 라면사리 초고추장 육수 천연조미료 대파 마늘 다시마맛간장 청주 
그린빈,데치기, 그린빈 슬라이스 아몬드 올리브오일 버터 
느타리버섯보관,데치기, 느타리버섯
파강회,데치기, 쪽파 고추장 설탕 매실청 식초 다진마늘 
소세지주먹밥,데치기, 밥 소세지 양파 작은거 당근 작은거 부추 굴소스 스푼 카놀라유 케찹 
어묵,데치기, 원형 어묵 필요것 검은깨 통조림 옥수수 케찹 필요것 이쑤시개 
엄나무순,데치기, 개두릎 연한거 꽃소금 물 종이컵 기준
문어초회,데치기,필수 삶은 문어 오이 미역 소스 다시마 물 간장 식초 맛술 레몬즙 설탕 선택 레몬 
새순,데치기, 두릅 취나물 엄나무순 머위
스마일김밥,데치기, 밥 김밥김 참기름 통큰비엔나소세지 소금 검은통깨 
두릅숙회,데치기, 두릅 굵은 소금 초고추장
개두릅숙회,데치기, 개두릅 들깨가루 다진양파 마요네즈 우유 매실청 식초 다진마늘 소금 초고추장 
새조개샤브샤브,데치기, 새조개 시금치 미나리 라면사리 초고추장비율 고추장 식초 설탕꿀 간장비율 다시마맛간장 와사비 육수 천연조미료 파뿌리 표고버섯꽁지 통마늘 청주 물
두릅초회,데치기,두릅초회 두릅 소라 소금 식초 청주 초 고추장 고추장 설탕 다진 마늘 일반식초 깨 소금 
봄나물,데치기, 두릅 돌미나리 엄나무 순 가죽 취나물 소금 초고추장 
밀전병,데치기, 두릅 소금 식용유 참기름 국간장 참깨 밀전병반죽 밀가루 들깨가루 전분 집간장 물 
두릅숙회,데치기, 두룹 소금 
오징어쪽파강회,데치기, 쪽파 오징어 노랑파프리카 빨강파프리카 초고추장 고추장 식초 설탕 물 
시금치손질,데치기,필수 시금치 먹을만큼 물 소금 
문어소세지,데치기, 소세지 치즈 검은깨
양배추롤쌈,데치기, 양배추 밥 연어캔 고추장 올리고당 청양고추 마늘 쪽파 후추 참기름
오징어다시마쌈,데치기, 오징어 당근 오이 맛살 부추 계란 다시마 시중에 파는 깻잎 마늘 오징어 고춧가루 간장 국시장국 꿀 다진마늘 통깨 참기름 부추 고춧가루 참기름 
브로콜리샐러드,데치기, 브로콜리 된장 마요네즈 매실청 통깨 마늘 
당고,데치기, 찹쌀가루 설탕 따뜻한물 당고소스 설탕 간장 맛술 전분물 전분물 녹말가루 생수 
홀토마토,데치기, 토마토 
문어초회,데치기, 문어 굵은소금 청주 초고추장 와사비
마늘종보관,데치기, 마늘종
아보카도냉파스타,데치기, 스파게티니 새우 방울토마토 건파인애플 마카다미아 아보카도페스토 아보카도 바질 시금치 올리브유 마카다미아 물 소금 후추 
견과류쌈장,데치기, 양배추 호박잎 케일 소고기 피망 밥 쪽파 된장 고추장 매실액 견과류 기호대로 다진양파 깨 다진마늘 다진청량고추 기호대로
문어초회,데치기, 문어 오이 무순 레몬 메밀면 다시마 가쓰오부시 간장 식초 설탕 물 
오징어파강회,데치기, 오징어 쪽파 파프리카 파프리카 초고추장 고추장 식초 매실청 올리고당 
냉모밀,데치기, 모밀면 국시장국 물 무 덩어리 오이 대파 얼음 김 잘라넣을만큼 와사비 
문어숙회,데치기, 문어 무 
오징어쪽파강회,데치기, 오징어 쪽파 밀가루 소금 참기름 초고추장 원하는만큼
얌운센,데치기, 버미셀리녹두당면쌀국수등 양파 라임이나 레몬 숙주 칵테일새우 부추나쪽파 식초 설탕 피쉬소스 까나리액젓이나 멸치액젓으로 대체가능칠리소스 홍고추 토핑용볶은땅콩
문어숙회,데치기, 생물 돌문어 무 생강술 
낙지숙회,데치기,낙지숙회 절단낙지 고추장 식초 설탕꿀 다진마늘 낙지볶음 절단 낙지 콩나물 고춧가루 진간장 액젓 청주 설탕 간마늘 다진생강 썬파 파프리카 가루 육수 전분물 참기름 통깨 전분물 감자전분 물 
오징어쪽파강회,데치기, 오징어 쪽파 소금 파프리카빨강노랑 각 초장
문어숙회,데치기,문어숙회 문어 시금치 채소 육수 깨소금 참기름 초고추장 
주꾸미숙회,데치기, 주꾸미 초고추장 세척용 소금 설탕 채소 육수 물 대파 양파 붉은 고추 풋고추 
유채나물,데치기, 유채나물 된장 고추장 고추가루 매실액 다진마늘 생들깨기름 깨소금 다진파 홍고추 
오징어쪽파강회,데치기, 오징어 쪽파 초고추장
두부,데치기, 두부 다진파 다진 당근 홍고추 생들깨기름 맛간장 물 고추가루 통깨 
