CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
또르띠아,부침, 양파 큰거 얇게 슬라이스 감자 중간크기 얇게 슬라이스 계란 작은후라이팬 소금 후추 올리브오일 
햄팽이버섯맛살전,부침, 캔햄 팽이버섯 맛살 다진 대파 밀가루 계란 물 소금 후추 
밀쌈말이,부침, 쇠고기 청피망 당근 달걀 오이 밀전병 밀가루 녹차가루 물 밀전병 밀가루 단호박 가루 물 밀전병 소금 밀전병 소금 고기 설탕 청주 간장 다진 마늘 다진 파 참기름 후춧가루 겨자간장 간장 식초 레몬즙 설탕 물 연겨자 겨자소스 연겨자 설탕 식초 레몬즙 소금 
시금치빈대떡,부침, 시금치 부침가루 달걀 올리브유 물 초간장 비율 간장 다시마물 식초 설탕 
카레참치전,부침, 감자 참치 양파 달걀 카레가루 소금 후추 
깻순,부침, 깻순 달걀 부침가루 물 
어묵김치말이부침,부침, 어묵 김치 계란 밀가루 소금 참기름 설탕
오징어김치부침개,부침, 오징어 다리 분량 부침가루 풋고추 김치 물 부침가루
옥수수단호박전,부침, 단호박 감자 부침가루 옥수수 알갱이 청고추 홍고추 파프리카 식용유 소금 
참치김치깻잎전,부침, 참치 깻잎 김치 부침가루 밀가루 달걀 소금 후추 
수수부꾸미,부침, 차수수가루 찹쌀가루 식용유 고명용대추호박씨 소금 팥앙금 설탕시럽 
모짜렐라치즈김치부침개,부침, 부침가루 얼음물 김치 김치국물 대파 양파 모짜렐라치즈 포도씨유 
팽이버섯달걀부침,부침, 달걀 팽이버섯 봉 대파 소금 
등심전,부침, 등심 밀가루 계란 소금 후추 
주먹밥달걀말이,부침, 밥 달걀 구운 소금 통깨 참기름 간장 매실청 튜브형 연겨자 
굴파전,부침, 쪽파 부침가루 물 달걀 굴 간장 쪽파 고춧가루 깨소금 
해물김치전,부침, 배추김치 해물 부추 달래 밀가루 부침가루 계란 양파 후추 육수 기름 
굴달래전,부침, 굴작은 것 달래 계란 밀가루 기름 소금 
어묵꼬치전,부침, 어묵 구멍 뚫린 어묵 맛살 청양고추 홍고추 이쑤시개 계란 기름 맛소금 
비지전,부침, 콩비지 정도 돼지고기 갈은것 계란 청양고추 홍고추 쪽파 다진마늘 청주 후추 맛소금 
파래전,부침, 파래 부침가루 달걀 카놀라유 초간장 매실청 간장 매실청이 없을 경우 초간장 간장 식초 설탕 
가래떡치즈스틱,부침, 라이스페이퍼 치즈 가래떡 달걀 밀가루 따뜻한물 빵가루 검정깨 포도씨유 참기름 칠리소스 물 
닭가슴살부침,부침, 닭가슴살 계란 다진파 통깨 소금 
돌나물치즈계란말이,부침, 계란 돌나물 치즈 닭가슴살통조림 소금 
호박전,부침, 호박 부침가루 달걀 홍고추 부추 포도씨유 소금 
새송이버섯감자빈대떡,부침, 감자 새송이 청고추 홍고추 부침가루 멸치다시물 올리브유 매실초장 매실청 간장 다시마물 초간장 다시마물 간장 식초 설탕 
냉이찹쌀전,부침, 냉이 찹쌀가루 달걀 홍고추 미니파프리카 물 포도씨유 간장 식초 물 올리고당 다진냉이 깨소금 
해물파전,부침, 쪽파 오징어 새우 청양고추 홍고추 계란 밀가루 튀김가루 물 전분 소금 후추 
애호박전,부침, 애호박 전분 소금 
햄계란말이,부침, 계란 통조림 햄 소금 
미역전,부침, 마른미역 통밀가루 찹쌀가루 양파 다시마물 파프리카 들기름 초간장 간장 식초
옥수수참치밥전,부침, 밥 참치캔 계란 당근 다진 것 양파 다진 것 애호박 다진 것 옥수수 통조림 전분가루 파마산치즈가루 소금 후추 
코코아프렌치토스트,부침, 바게트빵 두껍게 썰어서 준비 우유 계란 버터 쵸코파우더 생크림 딸기 피스타치오 설탕 슈가파우더 쵸콜릿시럽 
