CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
봄나물비빔밥,비빔, 밥 취나물 미나리 봄동 무순 천일염 봄나물무침 다진 마늘 다진파 참기름 깨소금 천일염 약고추장 돼지고기 다짐육 고추장 다진 마늘 다진파 식용유 
피자파이,비빔,반죽 박력분 강력분 물 소금 롤인 버터 마늘 피망 햄 표고버섯 모짜렐라 치즈 피자소스
연두부샐러드,비빔, 별금자리 연두부 드레싱 레몬즙 간장 올리브유 매실청 들기름 통깨 다진마늘 다진양파 홍파프리카 노랑파프리카 
라면어린잎샐러드,비빔, 라면사리 냉장고속야채 초고추장비율 고추장 식초 설탕 물엿 마늘 통깨
김치비빔국수,비빔, 국수 김치잎약 계란 오이 길이 계란 소금 설탕 식초 비빔국수 장 고추장 고춧가루 매실액또는 설탕 식초 간장 참기름 깨소금
비빔밥,비빔, 돼지고기 앞다리 불고기감 오이 당근 달걀 밥 돼지고기 간장 설탕 청주 다진파 다진마늘 참기름 후춧가루 작은술 절이는 용도 오이 소금 마늘 통깨 소금 설탕 참기름 당근 소금 식용유 달걀 맛술 소금 밥 참기름 통깨 소금 
토마토샐러드,비빔, 토마토 양파 파프리카 노란색 샐러드소스 올리브유 발사믹식초 간장 소금 설탕 맛술 
비빔만두,비빔, 깻잎 오이 상추 양상추 만두 냉장고속과일 고추장 식초 설탕 물엿 마늘 통깨 참외쥬스
멸추장비빔밥,비빔, 멸치 양파 마늘 청고추 파 당근 깻잎 계란 고추장 설탕 간장 고춧가루 
비빔소면,비빔, 국수 골뱅이 오이 상추쌈채소 골뱅이 고춧가루 토마토퓨레 쪽파대파 다진마늘 간장 고추장 레몬즙 매실액 식초 참기름 깨소금
도시락,비빔, 참치 파 길이로 한개 고추 당근 길이로 한토막 오이 길이로 한토막 무순 계란 우유 소금 참기름 간장 매실액 청주 굴소스 
비빔밥,비빔, 쌀 건고사리 생표고버섯 애호박 당근 다진마늘 집간장 천일염 통깨 달걀 고사리나물 양파 다진 마늘 집간장 천일염 들기름 반 물 콩나물무침 콩나물 다진 마늘 통깨 참기름 천일염 
김치유부초밥,비빔, 유부 무김치 밥 깻잎 단무지 유부 조림 소스 피클국물 밥 참기름 통깨 검은깨
쫄면,비빔, 쫄면 콩나물 오이 양배추 상추 매실액 통깨 달걀 고추장 고춧가루 케찹 식초 마늘 물엿 설탕 
