CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
매운감자조림,조림, 감자 중 멸치 청양고추 물 진간장 요리당 설탕 고춧가루 다진마늘 참기름 통깨 
알감자마늘조림,조림, 알감자 쪽마늘 물 간장 황설탕 물엿 통깨 
자반고등어조림,조림, 자반고등어 쌀뜨물 넉넉히 무 고추 대파 양파 물 간장 고춧가루 다진마늘 맛술 후춧가루 생강가루 깨소금 
콩조림,조림, 서리태 간장 황설탕 물엿 물 
닭가슴살장조림,조림,닭육수 닭가슴살 물 마늘 대파 양파 월계수잎 장조림 삶은 닭가슴살 닭육수 꽈리고추 마늘 건고추 통깨 조림장 진간장 맛술 물엿 흑설탕 후추 
닭고기마늘조림,조림, 닭가슴살 초록색 피망 붉은색 피망 ½개 고추기름 식용유 밑간 청주 소금 후추가루 장 케찹 간장 설탕 백포도주 생강즙 
콩자반,조림, 검은콩 간장 매실엑기스 설탕 물엿 깨소금
양미리조림,조림, 양미리 양파 대파 청고추 홍고추 올리브오일 육수 다진 마늘 고추장 고추가루 진간장 설탕 매실액 청주 생강즙 들기름 후추 
꽈리고추멸치조림,조림, 꽈리고추 멸치 간장 매실엑기스 마늘 참기름 깨
콩자반,조림, 검은콩 물 통깨 간장 설탕 물엿 
골뱅이덮밥,조림, 밥 골뱅이 날치알 깻잎 무순 통마늘 청양고추 붉은 고추 김가루 참깨 고추장 설탕 물엿 식초 레몬즙 발효겨자 다진 마늘 다진생강 깨소금 참기름 
메추리알장조림,조림, 메추리알 통마늘 생강 작게 청량고추 통후추 다시마 파 진간장 설탕
흑마늘돼지고기조림,조림, 돼지고기 흑마늘진액 고기 삶는 물 옻국물 다시마 후주 잔뜩 청주 장 간장 다진마늘 후추 꿀 해선장소스 물 
동태간장조림,조림, 절단동태 어슷 대파 물 간장 청주 다진 마늘 다진 파 다진 생강 설탕 참기름 
오징어야채말이조림,조림, 오징어 작은 것 당근 파프리카 청양고추 마늘 간장 물 참기름 설탕 물엿 후추
닭가슴살호두조림,조림, 닭가슴살 호두 다진마늘 간장 맛술 물엿 설탕 
닭가슴살조림,조림, 닭가슴살 들기름 간장 설탕 다진마늘 
닭고기덮밥,조림, 닭다리 살 작은 것 밥 대파 흰 부분 닭고기밑간 다진 마늘 청주 소금 후춧가루 생강즙이나 가루 소스 케첩 간장 맛술 설탕 
어묵꼬치,조림, 어묵 멸치다싯물 고추장 고춧가루 간장 요리당 맛술 다진마늘 후춧가루 핫소스 다진파 
두부조림,조림, 두부 물 간장 고춧가루 다진 대파 다진 마늘 맛술 설탕 참기름 소금 후추 
멸치콩조림,조림, 백태 멸치 다시마 간장 올리고탕 설탕 꿀 통깨 올리브유
표고버섯콩조림,조림, 표고버섯 백태 마늘 통깨 진간장 매실즙 맛술 올리고당 물 
파김치고등어조림,조림, 고등어 파김치 무 장 간장 고추가루 올리고당 다진마늘 산들애 생강소스 맛술 참기름 육수 생수 멸치 다시마 무
명태알장조림,조림, 명태알 꽈리고추 또는 한줌 정도 새송이버섯 조림간장 매실즙 올리고당 생수 설탕 후추 참기름 
우엉조림,조림, 우엉 간장 물엿 다시마 우린 물 올리브오일 
김치지짐,조림, 신총각김치 된장 국물내기 멸치 물 
묵은지꽁치조림,조림, 꽁치 묵은지 무 고춧가루 후춧가루 다진마늘
완자조림,조림, 다진고기 연근 당근 고추 다진 것 다진마늘 빵가루 고기밑간 소금 후추 청주 간장소스 간장 올리고당 참기름 청주 굴소스 
닭봉콜라조림,조림, 닭봉 닭날개 대파 마늘 생강 청고추 홍고추 소스 콜라 간장 굵은소금 
계란돼지고기장조림,조림, 돼지고기 안심 통후추 월계수잎 물 삶은계란 국간장 고기 삶은 육수 간장 설탕 물엿 
연어데리야끼조림,조림, 연어 연어밑간 소금 후추 데리야끼소스 간장 물엿 설탕 미림 생강 대파 레몬 양파 
호두조림,조림, 호두 간장 벌꿀 맛술 후추 흑마늘진액 
간장깻잎조림,조림, 깻잎 물 게장 달임장 고춧가루 다진 마늘 청고루 홍고추 다진 대파 
호두연근조림,조림, 호두 연근 간장 물 물엿 식초 맛술 설탕 
닭고기죽순조림,조림, 닭가슴살 생율 인삼 죽순 대추 감초 고기밑간 후추 소금 미림 소스 간장 올리고당 간마늘 소금 설탕
오징어야채말이조림,조림, 오징어 당근 두릅 죽순 물 고추장 간장 청주 물엿 다진파 다진 마늘 깨소금 참기름 
삼합장과,조림, 우둔살 마른 해삼 전복 홍합살 통마늘 통생강 대파 붉은 고추 잣 우둔살 밑간 참기름 설탕 후추가루 진간장 다진 마늘 해물 데쳐낸 물 간장 요리당 소주 설탕 
딸기쨈,조림, 딸기 설탕 레몬즙
호두조림,조림, 호두 물 조림간장 물엿 참기름 후추 
꽁치간장조림,조림, 꽁치 다시마육수 간장 물엿 맛술 청양고추 후추 
케찹메추리알조림,조림, 메추리알 케찹 고추장 양조간장 조림간장 다진양파 맛술 물엿 
어묵조림,조림, 어묵 송송대파 다진마늘 조림간장 올리고당 맛술 깨 물 
감자조림,조림, 감자 양파 고추장 고춧가루 간장 올리고당 설탕 미림 다진마늘 파 
어묵조림,조림, 어묵 양파 대파 고추 간장 고춧가루 설탕 요리당 다진마늘 물 후춧가루 
